csid,age_class_part,sex,loc_stat,season,day,diary_type,part_educ_stat,part_job,age_class_cont,diary_keeper,shadow_present,shadow_num,fam_rel,share_hh,same_room,share_bed,ever_met,how_often,difficulties_filling_diary,difficulty_comments,record_all_contacts,record_contacts_comments,behaviour_change,behaviour_change_comments,other_comments,dok_year
14,3,"Female",1,1,1,"Picture","1","Pre-School","Primary","Shadow",1,1,"Sibling","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Primary","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Adult","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Adult","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Primary","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Parent","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Primary","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Adult","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Older","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Primary","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Primary","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Adult","Shadow",1,1,"Sibling","Yes","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Primary","Shadow",1,1,"Parent","Yes","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Primary","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Adult","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Adult","Shadow",1,1,"Sibling","Yes","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
15,2,"Female",1,1,1,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
16,3,"Male",1,1,0,"Picture","2","Student","Secondary","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
16,3,"Male",1,1,0,"Picture","2","Student","Adult","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
16,3,"Male",1,1,0,"Picture","2","Student","Adult","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
16,3,"Male",1,1,0,"Picture","2","Student","Adult","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
16,3,"Male",1,1,0,"Picture","2","Student","Older","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
16,3,"Male",1,1,0,"Picture","2","Student","Older","Participant",0,0,"Parent","Yes","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
16,3,"Male",1,1,0,"Picture","2","Student","Adult","Participant",0,0,"Parent","Yes","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
16,3,"Male",1,1,0,"Picture","2","Student","Older","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
16,3,"Male",1,1,0,"Picture","2","Student","Primary","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","None","Yes","None","No","None","999",2011
18,4,"Male",1,1,1,"Picture","2","Student","Older","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Primary","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Primary","Participant",0,0,"Parent","Yes","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Secondary","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Adult","Participant",0,0,"Parent","Yes","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Secondary","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Primary","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Secondary","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Primary","Participant",0,0,"Sibling","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Adult","Participant",0,0,"Parent","No","No","No","Yes","Rarely","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Primary","Participant",0,0,"Parent","Yes","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Adult","Participant",0,0,"Parent","No","No","No","Missing","Missing","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Primary","Participant",0,0,"Parent","Yes","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Secondary","Participant",0,0,"Sibling","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Primary","Participant",0,0,"Parent","Yes","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Older","Participant",0,0,"Parent","No","No","No","Yes","Rarely","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Pre-School","Participant",0,0,"Parent","Yes","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Adult","Participant",0,0,"Sibling","No","No","No","Yes","Rarely","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Adult","Participant",0,0,"Sibling","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Primary","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Adult","Participant",0,0,"Parent","Yes","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Adult","Participant",0,0,"Parent","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Secondary","Participant",0,0,"Sibling","No","No","No","Yes","Daily","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
18,4,"Male",1,1,1,"Picture","2","Student","Secondary","Participant",0,0,"Parent","No","No","No","Yes","Missing","No","none","No","He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.","No","none","no",2011
19,1,"Female",1,0,0,"Picture","0","Pre-School","Secondary","Shadow",1,1,"Parent","No","Yes","Yes","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Secondary","Shadow",1,1,"Parent","No","Yes","Yes","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","No","Yes","No","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Infant","Shadow",1,1,"Parent","Yes","Yes","Yes","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Adult","Shadow",1,1,"Parent","Yes","Yes","No","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Parent","Yes","Yes","Yes","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Adult","Shadow",1,1,"Sibling","Yes","Yes","Yes","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Secondary","Shadow",1,1,"Sibling","No","Yes","Yes","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Adult","Shadow",1,1,"Parent","Yes","Yes","Yes","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Sibling","Yes","Yes","Yes","Yes","Daily","No","None","Yes","None","No","None","No",2012
19,1,"Female",1,0,0,"Picture","0","Pre-School","Pre-School","Shadow",1,1,"Parent","Yes","Yes","Yes","Yes","Daily","No","None","Yes","None","No","None","No",2012
20,5,"Female",1,0,1,"Picture","4","Other","Adult","Participant",0,0,"Offspring","Yes","No","No","Yes","Daily","No","None","Yes","None","No","","999",2011
20,5,"Female",1,0,1,"Picture","4","Other","Secondary","Participant",0,0,"Offspring","Yes","No","No","Yes","Daily","No","None","Yes","None","No","","999",2011
20,5,"Female",1,0,1,"Picture","4","Other","Adult","Participant",0,0,"Offspring","No","No","No","Yes","Daily","No","None","Yes","None","No","","999",2011
20,5,"Female",1,0,1,"Picture","4","Other","Secondary","Participant",0,0,"Offspring","Yes","No","No","Yes","Daily","No","None","Yes","None","No","","999",2011
20,5,"Female",1,0,1,"Picture","4","Other","Adult","Participant",0,0,"Offspring","No","No","No","Yes","Daily","No","None","Yes","None","No","","999",2011
22,2,"Male",1,0,1,"Picture","0","Unemployed","Adult","Shadow",1,1,"Sibling","Yes","Yes","No","Yes","Daily","No","none","Yes","none","No","none","999",2011
22,2,"Male",1,0,1,"Picture","0","Unemployed","Older","Shadow",1,1,"Parent","Yes","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","999",2011
22,2,"Male",1,0,1,"Picture","0","Unemployed","Primary","Shadow",1,1,"Sibling","Yes","Yes","No","Yes","Daily","No","none","Yes","none","No","none","999",2011
22,2,"Male",1,0,1,"Picture","0","Unemployed","Pre-School","Shadow",1,1,"Other relative","Yes","Yes","No","Yes","Daily","No","none","Yes","none","No","none","999",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Primary","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Spouse","Yes","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Offspring","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Older","Participant",0,0,"Offspring","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Primary","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Older","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Spouse","Yes","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Older","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Older","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Infant","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Primary","Participant",0,0,"Spouse","Yes","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Older","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Older","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Offspring","Yes","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Secondary","Participant",0,0,"Spouse","Yes","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Older","Participant",0,0,"Spouse","No","Yes","Yes","Yes","Daily","No","none","Yes","none","No","none","no",2011
23,5,"Male",1,1,1,"Picture","9","Business Person","Adult","Participant",0,0,"Offspring","No","No","No","Yes","Daily","No","none","Yes","none","No","none","no",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Secondary","Participant",0,0,"Missing","No","Missing","Missing","Yes","Often","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Secondary","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Pre-School","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Secondary","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Secondary","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Older","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Secondary","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Secondary","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Secondary","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Regularly","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
26,5,"Female",1,1,1,"Picture","2","Other","Adult","Participant",0,0,"Missing","No","Missing","Missing","Yes","Often","No","none","Yes","none","Yes","some of the students were afraid to greet the participants after they knew he was keeping the diary","999",2011
